value...1	value...2	value...3	value...4	value...5	value...6	value...7	value...8	value...9	value...10
0.05094654	0.05944615	0.08131886	0.1231295	0.06664328	0.1611892	0.1941696	0.05700152	0.06113206	0.1371691
0.04500255	0.05788918	0.079892	0.1274005	0.06286799	0.1779985	0.1986045	0.05447629	0.06984534	0.1491361
0.04173155	0.05957915	0.08530004	0.135934	0.0618878	0.1793445	0.1915753	0.05447878	0.06863873	0.1457234
0.045652	0.06159551	0.08313707	0.1261393	0.06042324	0.1754026	0.1794812	0.05020246	0.07386015	0.1497615
0.04864578	0.0687056	0.08069204	0.1364525	0.06089189	0.1851955	0.1590724	0.04824828	0.06210375	0.1351942
0.04870741	0.06239744	0.07442171	0.1342949	0.06593021	0.1718163	0.1973166	0.04832129	0.06998635	0.1517609
0.05116596	0.06344345	0.07985797	0.1549863	0.07578923	0.1751656	0.1798564	0.05276162	0.06075682	0.1294656
0.05696425	0.05970336	0.08700781	0.1606259	0.07788976	0.1819924	0.1853968	0.05398786	0.06458896	0.1362343
0.05250475	0.06560073	0.0781984	0.1839201	0.07767869	0.1650561	0.1915023	0.05384549	0.07159894	0.1383894
0.06218959	0.06136527	0.07694559	0.1891308	0.08974002	0.1524978	0.1940052	0.05570348	0.06455674	0.1282188
0.06354993	0.0601894	0.06787811	0.1942043	0.09259766	0.1589104	0.2002059	0.06163915	0.08034033	0.1170456
0.06311896	0.06221308	0.06410871	0.1798692	0.09179282	0.1586442	0.2035714	0.05076062	0.0754151	0.1234009
0.06290831	0.05856119	0.07672014	0.186778	0.09561583	0.1504399	0.1960985	0.05160204	0.06647089	0.1277052
0.0681773	0.05753743	0.0747708	0.1966951	0.09058073	0.1632709	0.1863082	0.04452143	0.07677742	0.1160164
0.0667304	0.0560928	0.06048889	0.1860677	0.08835418	0.159202	0.190488	0.04394076	0.08018979	0.1108829
0.073162	0.06241076	0.05338375	0.2038076	0.1014686	0.1523237	0.1784331	0.04939613	0.07590022	0.1352593
0.06667677	0.06187585	0.05438177	0.1994325	0.1084408	0.153683	0.1496573	0.05086927	0.07898382	0.1352769
0.05975289	0.06097763	0.05478261	0.2108884	0.1137244	0.142004	0.1490874	0.05385056	0.0760887	0.1385052
0.06662245	0.05779808	0.0545885	0.2187893	0.1227716	0.150812	0.1463467	0.05488133	0.07501159	0.1348463
0.06276774	0.0561296	0.05836169	0.2410329	0.1150065	0.14631160000000001	0.1281858	0.0476507	0.07508736	0.1232465
0.05779217	0.05950274	0.06063505	0.2148417	0.1207495	0.1476318	0.1126183	0.0469913	0.0692151	0.1106719
0.05639393	0.05908265	0.06330826	0.1930359	0.1130408	0.1533201	0.09880568	0.04502244	0.07307563	0.09686044
0.0514872	0.06186543	0.06885702	0.1964422	0.1112615	0.1603719	0.09633571	0.05052617	0.08015649	0.09641222
0.05583466	0.05892841	0.0659468	0.2071627	0.1143681	0.1799359	0.1191267	0.04105616	0.07386732	0.09580791
0.05302826	0.0669258	0.0732603	0.1866894	0.1179585	0.1662657	0.1158798	0.04097495	0.07307256	0.07776993
0.05221764	0.07530173	0.07168276	0.1836247	0.1179793	0.1832074	0.1151178	0.04224732	0.0673017	0.08136978
0.04844584	0.0754888	0.08031907	0.1789289	0.1325796	0.1707898	0.109999	0.04743658	0.06768008	0.08949433
0.05488782	0.08241291	0.08544588	0.1699108	0.1364224	0.1568776	0.1197597	0.04821964	0.08278509	0.07861694
0.06212627	0.088712	0.08647948	0.1623082	0.1296714	0.1553759	0.1148874	0.04982296	0.080308	0.06749571
0.06816049	0.1020588	0.08631998	0.1535193	0.1464717	0.1432732	0.1286449	0.04275795	0.09824743	0.07078182
0.06740301	0.1039069	0.09359424	0.1391548	0.1484816	0.1411069	0.1465964	0.03639389	0.1023063	0.0721617
0.07181276	0.1040788	0.08181346	0.139535	0.1393097	0.1292942	0.1755867	0.03853407	0.09278162	0.06934201
0.08017097	0.115126	0.0817777	0.1673425	0.1415016	0.1326264	0.2017524	0.03872805	0.09415026	0.06964495
