varU	varE	Ind_gen	Densidad	h2	Pedigrí	Enfoque
0.5255741991368227	0.0916283239762752	148	1.000	0.85	Pedigrí 1.4	REML
0.47613744309741635	0.12162208374518513	298	1.000	0.8	Pedigrí 1.4	REML
0.3295920216975458	0.22747445431950578	451	1.000	0.59	Pedigrí 1.4	REML
0.4818953466547321	0.10706934330068975	0	10.000	0.82	Pedigrí 1.4	REML
0.47909824154214015	0.11492140945973879	148	10.000	0.81	Pedigrí 1.4	REML
0.4535415079818165	0.10644917043847922	298	10.000	0.81	Pedigrí 1.4	REML
0.4120286465062077	0.12276882011659004	451	10.000	0.77	Pedigrí 1.4	REML
0.4818953466547321	0.10706934330068975	0	100.000	0.82	Pedigrí 1.4	REML
0.48264279335231625	0.11181918874593766	148	100.000	0.81	Pedigrí 1.4	REML
0.4533725332623942	0.10660534750130812	298	100.000	0.81	Pedigrí 1.4	REML
0.4143481167891924	0.11312301197591625	451	100.000	0.79	Pedigrí 1.4	REML
0.43668986061772425	0.15490100513834243	0	1.000	0.74	Pedigrí 1.5	REML
0.5001870391328052	0.11536701949255138	148	1.000	0.81	Pedigrí 1.5	REML
0.46141997484576824	0.14132511286019006	298	1.000	0.77	Pedigrí 1.5	REML
0.3295920216975458	0.22747445431950578	451	1.000	0.59	Pedigrí 1.5	REML
0.43668986061772425	0.15490100513834243	0	10.000	0.74	Pedigrí 1.5	REML
0.46685621426129786	0.13213268391294808	148	10.000	0.78	Pedigrí 1.5	REML
0.4268464161847215	0.1389862829343105	298	10.000	0.75	Pedigrí 1.5	REML
0.4120286465062077	0.12276882011659004	451	10.000	0.77	Pedigrí 1.5	REML
0.43668986061772425	0.15490100513834243	0	100.000	0.74	Pedigrí 1.5	REML
0.4668373805880505	0.13105235614062427	148	100.000	0.78	Pedigrí 1.5	REML
0.42259702726690757	0.1413164573766017	298	100.000	0.75	Pedigrí 1.5	REML
0.4143481167891924	0.11312301197591625	451	100.000	0.79	Pedigrí 1.5	REML
0.49608153997546767	0.12489295850839684	0	1.000	0.8	Pedigrí 1.6	REML
0.5314792699899369	0.10040853206583399	148	1.000	0.84	Pedigrí 1.6	REML
0.5062894607556179	0.1070055236438243	298	1.000	0.83	Pedigrí 1.6	REML
0.3295920216975458	0.22747445431950578	451	1.000	0.59	Pedigrí 1.6	REML
0.49608153997546767	0.12489295850839684	0	10.000	0.8	Pedigrí 1.6	REML
0.4971506598616268	0.11717814217594388	148	10.000	0.81	Pedigrí 1.6	REML
0.4803724122103619	0.09488231890041206	298	10.000	0.84	Pedigrí 1.6	REML
0.4120286465062077	0.12276882011659004	451	10.000	0.77	Pedigrí 1.6	REML
0.49608153997546767	0.12489295850839684	0	100.000	0.8	Pedigrí 1.6	REML
0.4961477062239998	0.11716836381157136	148	100.000	0.81	Pedigrí 1.6	REML
0.4731419281465652	0.09841124960439357	298	100.000	0.83	Pedigrí 1.6	REML
0.4143481167891924	0.11312301197591625	451	100.000	0.79	Pedigrí 1.6	REML
0.5274436041329369	0.06687933625911313	0	1.000	0.89	Pedigrí 1.7	REML
0.5613422705032476	0.05118442701443547	148	1.000	0.92	Pedigrí 1.7	REML
0.48995838577463585	0.10177421848639678	298	1.000	0.83	Pedigrí 1.7	REML
0.3295920216975458	0.22747445431950578	451	1.000	0.59	Pedigrí 1.7	REML
0.5274436041329369	0.06687933625911313	0	10.000	0.89	Pedigrí 1.7	REML
0.5263179444806085	0.06706235790373619	148	10.000	0.89	Pedigrí 1.7	REML
0.4634211663391213	0.08890663134871984	298	10.000	0.84	Pedigrí 1.7	REML
0.4120286465062077	0.12276882011659004	451	10.000	0.77	Pedigrí 1.7	REML
0.5274436041329369	0.06687933625911313	0	100.000	0.89	Pedigrí 1.7	REML
0.5285715593307666	0.06469394879721145	148	100.000	0.89	Pedigrí 1.7	REML
0.4602285723868532	0.09070617543172796	298	100.000	0.84	Pedigrí 1.7	REML
0.4143481167891924	0.11312301197591625	451	100.000	0.79	Pedigrí 1.7	REML
0.48427491048799093	0.10024501451226596	0	1.000	0.83	Pedigrí 1.8	REML
0.5416325493043841	0.06765917216700855	148	1.000	0.89	Pedigrí 1.8	REML
0.4775485553374732	0.11522292518432442	298	1.000	0.81	Pedigrí 1.8	REML
0.3295920216975458	0.22747445431950578	451	1.000	0.59	Pedigrí 1.8	REML
0.48427491048799093	0.10024501451226596	0	10.000	0.83	Pedigrí 1.8	REML
0.48620180099115684	0.09699086424670726	148	10.000	0.83	Pedigrí 1.8	REML
0.4534183112275692	0.10306066940930006	298	10.000	0.81	Pedigrí 1.8	REML
0.4120286465062077	0.12276882011659004	451	10.000	0.77	Pedigrí 1.8	REML
0.48427491048799093	0.10024501451226596	0	100.000	0.83	Pedigrí 1.8	REML
0.489555065276692	0.09425921829842199	148	100.000	0.84	Pedigrí 1.8	REML
0.4505389957369161	0.10483653992689713	298	100.000	0.81	Pedigrí 1.8	REML
0.4143481167891924	0.11312301197591625	451	100.000	0.79	Pedigrí 1.8	REML
0.37324504642710216	0.21095801754997992	0	1.000	0.64	Pedigrí 1.9	REML
0.4142435578352037	0.18744356218905553	148	1.000	0.69	Pedigrí 1.9	REML
0.44326976023754244	0.159232985867473	298	1.000	0.74	Pedigrí 1.9	REML
0.3295920216975458	0.22747445431950578	451	1.000	0.59	Pedigrí 1.9	REML
0.37324504642710216	0.21095801754997992	0	10.000	0.64	Pedigrí 1.9	REML
0.38613515070859034	0.2007125187411015	148	10.000	0.66	Pedigrí 1.9	REML
0.4019400259422214	0.16033673536082943	298	10.000	0.71	Pedigrí 1.9	REML
0.4120286465062077	0.12276882011659004	451	10.000	0.77	Pedigrí 1.9	REML
0.37324504642710216	0.21095801754997992	0	100.000	0.64	Pedigrí 1.9	REML
0.3881297556955955	0.19892900431027913	148	100.000	0.66	Pedigrí 1.9	REML
0.4021145801757404	0.16076488650047666	298	100.000	0.71	Pedigrí 1.9	REML
0.4143481167891924	0.11312301197591625	451	100.000	0.79	Pedigrí 1.9	REML
0.5553717313368898	0.04451214053097817	0	1.000	0.93	Pedigrí 1.10	REML
0.606091083002416	0.023201096663441962	148	1.000	0.96	Pedigrí 1.10	REML
0.5187986976378857	0.0844506018011285	298	1.000	0.86	Pedigrí 1.10	REML
0.3295920216975458	0.22747445431950578	451	1.000	0.59	Pedigrí 1.10	REML
0.5553717313368898	0.04451214053097817	0	10.000	0.93	Pedigrí 1.10	REML
0.5604184991849936	0.044482437680954307	148	10.000	0.93	Pedigrí 1.10	REML
0.4833999320348654	0.07764490783695	298	10.000	0.86	Pedigrí 1.10	REML
0.4120286465062077	0.12276882011659004	451	10.000	0.77	Pedigrí 1.10	REML
0.5553717313368898	0.04451214053097817	0	100.000	0.93	Pedigrí 1.10	REML
0.5650422945687535	0.040307646624701966	148	100.000	0.93	Pedigrí 1.10	REML
0.47842593185069293	0.08071760122088394	298	100.000	0.86	Pedigrí 1.10	REML
0.4143481167891924	0.11312301197591625	451	100.000	0.79	Pedigrí 1.10	REML
0.4820902083	0.159756804212	0	1.000	0.75	Pedigrí 2.1	Bayesiano
0.49395432908	0.151177339974	148	1.000	0.77	Pedigrí 2.1	Bayesiano
0.48597680552	0.158578050915	298	1.000	0.75	Pedigrí 2.1	Bayesiano
